recording_id,artist_name,artist_name_clean,track_name,first_entry,quarter,year,fiveyear,decade,era,cluster,tags_POP,tags_ROCK,tags_80S,tags_SOUL,tags_OLDIES,tags_60S,tags_CLASSICROCK,tags_DANCE,tags_70S,tags_HIPHOP,tags_90S,tags_ALTERNATIVE,tags_INDIE,tags_COUNTRY,tags_NEWWAVE,tags_RAP,tags_HOUSE,tags_DISCO,tags_HARDROCK,tags_SINGERSONGWRITER,tags_JAZZ,tags_EASYLISTENING,tags_50S,tags_SOUNDTRACK,tags_MOTOWN,tags_FOLK,tags_BLUES,tags_SYNTHPOP,tags_TRANCE,tags_INSTRUMENTAL,tags_SOFTROCK,tags_PUNK,tags_MALEVOCAL,tags_REGGAE,tags_NORTHERNSOUL,tags_PROGRESSIVEROCK,tags_TECHNO,tags_METAL,tags_CHILLOUT,tags_POSTPUNK,tags_POPROCK,tags_HEAVYMETAL,tags_ROCKABILLY,tags_GLAMROCK,tags_DOOWOP,tags_CLASSICCOUNTRY,tags_PUNKROCK,tags_SWING,tags_1950S,tags_SEXY,tags_BALLAD,tags_ACOUSTIC,tags_EURODANCE,tags_SLOWJAMS,tags_PSYCHEDELIC,tags_BLUESROCK
1,Suzanne Vega,SUZANNEVEGA,Solitude Standing,9/12/87,1987 Q3,1987,1985,1980,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Janet Jackson ft Carly Simon,JANETJACKSON,Son Of A Gun (Betcha Think This Song Is About You),11/24/01,2001 Q4,2001,2000,2000,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Neneh Cherry,NENEHCHERRY,Heart,12/9/89,1989 Q4,1989,1985,1980,3,12,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Neneh Cherry,NENEHCHERRY,Kisses On The Wind,7/22/89,1989 Q3,1989,1985,1980,3,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,JUNIORMAFIA,Get Money,2/10/96,1996 Q1,1996,1995,1990,4,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Junior M.A.F.I.A.,JUNIORMAFIA,Player's Anthem,7/22/95,1995 Q3,1995,1995,1990,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",MISSYMISDEMEANORELLIOTT,Sock It 2 Me,10/18/97,1997 Q4,1997,1995,1990,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Nas,NAS,If I Ruled The World,6/22/96,1996 Q2,1996,1995,1990,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Tweet,TWEET,Oops (Oh My),2/9/02,2002 Q1,2002,2000,2000,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,Fabolous,FABOLOUS,Young'n (Holla Back),12/1/01,2001 Q4,2001,2000,2000,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Angie Stone,ANGIESTONE,No More Rain (In This Cloud),12/25/99,1999 Q4,1999,1995,1990,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
