"year","genre","score"
1960,"ALTERNATIVE",1
1961,"ALTERNATIVE",0
1962,"ALTERNATIVE",0
1963,"ALTERNATIVE",0
1964,"ALTERNATIVE",0
1965,"ALTERNATIVE",0
1966,"ALTERNATIVE",1
1967,"ALTERNATIVE",1
1968,"ALTERNATIVE",0
1969,"ALTERNATIVE",0
1970,"ALTERNATIVE",1
1971,"ALTERNATIVE",0
1972,"ALTERNATIVE",0
1973,"ALTERNATIVE",1
1974,"ALTERNATIVE",1
1975,"ALTERNATIVE",0
1976,"ALTERNATIVE",0
1977,"ALTERNATIVE",0
1978,"ALTERNATIVE",2
1979,"ALTERNATIVE",1
1980,"ALTERNATIVE",3
1981,"ALTERNATIVE",0
1982,"ALTERNATIVE",1
1983,"ALTERNATIVE",6
1984,"ALTERNATIVE",2
1985,"ALTERNATIVE",3
1986,"ALTERNATIVE",4
1987,"ALTERNATIVE",4
1988,"ALTERNATIVE",5
1989,"ALTERNATIVE",10
1990,"ALTERNATIVE",10
1991,"ALTERNATIVE",8
1992,"ALTERNATIVE",12
1993,"ALTERNATIVE",17
1994,"ALTERNATIVE",20
1995,"ALTERNATIVE",29
1996,"ALTERNATIVE",28
1997,"ALTERNATIVE",20
1998,"ALTERNATIVE",19
1999,"ALTERNATIVE",29
2000,"ALTERNATIVE",26
2001,"ALTERNATIVE",33
2002,"ALTERNATIVE",33
2003,"ALTERNATIVE",33
2004,"ALTERNATIVE",38
2005,"ALTERNATIVE",43
2006,"ALTERNATIVE",56
2007,"ALTERNATIVE",48
2008,"ALTERNATIVE",34
2009,"ALTERNATIVE",27
1960,"CLASSICROCK",8
1961,"CLASSICROCK",19
1962,"CLASSICROCK",11
1963,"CLASSICROCK",10
1964,"CLASSICROCK",60
1965,"CLASSICROCK",60
1966,"CLASSICROCK",88
1967,"CLASSICROCK",105
1968,"CLASSICROCK",93
1969,"CLASSICROCK",93
1970,"CLASSICROCK",109
1971,"CLASSICROCK",112
1972,"CLASSICROCK",122
1973,"CLASSICROCK",94
1974,"CLASSICROCK",87
1975,"CLASSICROCK",89
1976,"CLASSICROCK",109
1977,"CLASSICROCK",105
1978,"CLASSICROCK",101
1979,"CLASSICROCK",111
1980,"CLASSICROCK",103
1981,"CLASSICROCK",94
1982,"CLASSICROCK",98
1983,"CLASSICROCK",78
1984,"CLASSICROCK",66
1985,"CLASSICROCK",75
1986,"CLASSICROCK",70
1987,"CLASSICROCK",65
1988,"CLASSICROCK",58
1989,"CLASSICROCK",46
1990,"CLASSICROCK",37
1991,"CLASSICROCK",25
1992,"CLASSICROCK",23
1993,"CLASSICROCK",15
1994,"CLASSICROCK",15
1995,"CLASSICROCK",10
1996,"CLASSICROCK",7
1997,"CLASSICROCK",6
1998,"CLASSICROCK",5
1999,"CLASSICROCK",1
2000,"CLASSICROCK",2
2001,"CLASSICROCK",2
2002,"CLASSICROCK",2
2003,"CLASSICROCK",3
2004,"CLASSICROCK",0
2005,"CLASSICROCK",2
2006,"CLASSICROCK",2
2007,"CLASSICROCK",2
2008,"CLASSICROCK",1
2009,"CLASSICROCK",2
1960,"COUNTRY",47
1961,"COUNTRY",38
1962,"COUNTRY",37
1963,"COUNTRY",25
1964,"COUNTRY",21
1965,"COUNTRY",24
1966,"COUNTRY",18
1967,"COUNTRY",23
1968,"COUNTRY",24
1969,"COUNTRY",28
1970,"COUNTRY",34
1971,"COUNTRY",35
1972,"COUNTRY",23
1973,"COUNTRY",44
1974,"COUNTRY",32
1975,"COUNTRY",41
1976,"COUNTRY",24
1977,"COUNTRY",15
1978,"COUNTRY",16
1979,"COUNTRY",20
1980,"COUNTRY",26
1981,"COUNTRY",23
1982,"COUNTRY",21
1983,"COUNTRY",15
1984,"COUNTRY",7
1985,"COUNTRY",2
1986,"COUNTRY",3
1987,"COUNTRY",1
1988,"COUNTRY",0
1989,"COUNTRY",0
1990,"COUNTRY",0
1991,"COUNTRY",1
1992,"COUNTRY",5
1993,"COUNTRY",18
1994,"COUNTRY",16
1995,"COUNTRY",11
1996,"COUNTRY",9
1997,"COUNTRY",17
1998,"COUNTRY",39
1999,"COUNTRY",52
2000,"COUNTRY",53
2001,"COUNTRY",48
2002,"COUNTRY",53
2003,"COUNTRY",53
2004,"COUNTRY",62
2005,"COUNTRY",65
2006,"COUNTRY",47
2007,"COUNTRY",56
2008,"COUNTRY",68
2009,"COUNTRY",74
1960,"DANCE",2
1961,"DANCE",0
1962,"DANCE",1
1963,"DANCE",2
1964,"DANCE",0
1965,"DANCE",0
1966,"DANCE",0
1967,"DANCE",2
1968,"DANCE",0
1969,"DANCE",1
1970,"DANCE",0
1971,"DANCE",0
1972,"DANCE",1
1973,"DANCE",1
1974,"DANCE",1
1975,"DANCE",9
1976,"DANCE",8
1977,"DANCE",8
1978,"DANCE",18
1979,"DANCE",26
1980,"DANCE",8
1981,"DANCE",8
1982,"DANCE",9
1983,"DANCE",12
1984,"DANCE",16
1985,"DANCE",10
1986,"DANCE",26
1987,"DANCE",33
1988,"DANCE",25
1989,"DANCE",25
1990,"DANCE",32
1991,"DANCE",35
1992,"DANCE",23
1993,"DANCE",21
1994,"DANCE",12
1995,"DANCE",26
1996,"DANCE",18
1997,"DANCE",29
1998,"DANCE",22
1999,"DANCE",16
2000,"DANCE",24
2001,"DANCE",28
2002,"DANCE",26
2003,"DANCE",19
2004,"DANCE",22
2005,"DANCE",20
2006,"DANCE",27
2007,"DANCE",31
2008,"DANCE",32
2009,"DANCE",32
1960,"HIPHOP",0
1961,"HIPHOP",1
1962,"HIPHOP",0
1963,"HIPHOP",0
1964,"HIPHOP",0
1965,"HIPHOP",1
1966,"HIPHOP",0
1967,"HIPHOP",0
1968,"HIPHOP",0
1969,"HIPHOP",0
1970,"HIPHOP",0
1971,"HIPHOP",0
1972,"HIPHOP",0
1973,"HIPHOP",0
1974,"HIPHOP",0
1975,"HIPHOP",0
1976,"HIPHOP",0
1977,"HIPHOP",0
1978,"HIPHOP",0
1979,"HIPHOP",1
1980,"HIPHOP",2
1981,"HIPHOP",1
1982,"HIPHOP",4
1983,"HIPHOP",0
1984,"HIPHOP",0
1985,"HIPHOP",3
1986,"HIPHOP",2
1987,"HIPHOP",5
1988,"HIPHOP",8
1989,"HIPHOP",7
1990,"HIPHOP",18
1991,"HIPHOP",19
1992,"HIPHOP",36
1993,"HIPHOP",51
1994,"HIPHOP",57
1995,"HIPHOP",57
1996,"HIPHOP",44
1997,"HIPHOP",41
1998,"HIPHOP",44
1999,"HIPHOP",36
2000,"HIPHOP",45
2001,"HIPHOP",63
2002,"HIPHOP",58
2003,"HIPHOP",70
2004,"HIPHOP",86
2005,"HIPHOP",68
2006,"HIPHOP",71
2007,"HIPHOP",61
2008,"HIPHOP",66
2009,"HIPHOP",52
1960,"OLDIES",233
1961,"OLDIES",252
1962,"OLDIES",212
1963,"OLDIES",220
1964,"OLDIES",200
1965,"OLDIES",215
1966,"OLDIES",190
1967,"OLDIES",151
1968,"OLDIES",133
1969,"OLDIES",112
1970,"OLDIES",79
1971,"OLDIES",69
1972,"OLDIES",60
1973,"OLDIES",53
1974,"OLDIES",42
1975,"OLDIES",42
1976,"OLDIES",30
1977,"OLDIES",24
1978,"OLDIES",13
1979,"OLDIES",11
1980,"OLDIES",10
1981,"OLDIES",14
1982,"OLDIES",4
1983,"OLDIES",3
1984,"OLDIES",2
1985,"OLDIES",0
1986,"OLDIES",2
1987,"OLDIES",3
1988,"OLDIES",2
1989,"OLDIES",3
1990,"OLDIES",2
1991,"OLDIES",0
1992,"OLDIES",1
1993,"OLDIES",1
1994,"OLDIES",1
1995,"OLDIES",1
1996,"OLDIES",0
1997,"OLDIES",0
1998,"OLDIES",1
1999,"OLDIES",0
2000,"OLDIES",0
2001,"OLDIES",0
2002,"OLDIES",0
2003,"OLDIES",0
2004,"OLDIES",0
2005,"OLDIES",0
2006,"OLDIES",0
2007,"OLDIES",0
2008,"OLDIES",0
2009,"OLDIES",0
1960,"POP",58
1961,"POP",52
1962,"POP",58
1963,"POP",71
1964,"POP",107
1965,"POP",91
1966,"POP",99
1967,"POP",97
1968,"POP",88
1969,"POP",82
1970,"POP",65
1971,"POP",80
1972,"POP",76
1973,"POP",57
1974,"POP",57
1975,"POP",70
1976,"POP",70
1977,"POP",83
1978,"POP",74
1979,"POP",69
1980,"POP",70
1981,"POP",64
1982,"POP",100
1983,"POP",118
1984,"POP",103
1985,"POP",108
1986,"POP",128
1987,"POP",109
1988,"POP",113
1989,"POP",101
1990,"POP",87
1991,"POP",77
1992,"POP",74
1993,"POP",56
1994,"POP",50
1995,"POP",61
1996,"POP",49
1997,"POP",57
1998,"POP",66
1999,"POP",60
2000,"POP",64
2001,"POP",60
2002,"POP",50
2003,"POP",55
2004,"POP",52
2005,"POP",54
2006,"POP",81
2007,"POP",77
2008,"POP",101
2009,"POP",104
1960,"RAP",0
1961,"RAP",1
1962,"RAP",0
1963,"RAP",0
1964,"RAP",0
1965,"RAP",0
1966,"RAP",0
1967,"RAP",0
1968,"RAP",0
1969,"RAP",0
1970,"RAP",0
1971,"RAP",0
1972,"RAP",0
1973,"RAP",0
1974,"RAP",0
1975,"RAP",0
1976,"RAP",0
